Algoritmo,Numero de estado,Valores de h
Genetic Algorithm,372,11
Genetic Algorithm,373,12
Genetic Algorithm,374,13
Genetic Algorithm,375,8
Genetic Algorithm,376,10
Genetic Algorithm,377,9
Genetic Algorithm,378,16
Genetic Algorithm,379,18
Genetic Algorithm,380,13
Genetic Algorithm,381,8
Genetic Algorithm,382,17
Genetic Algorithm,383,14
Genetic Algorithm,384,14
Genetic Algorithm,385,13
Genetic Algorithm,386,11
Genetic Algorithm,387,10
Genetic Algorithm,388,14
Genetic Algorithm,389,16
Genetic Algorithm,390,9
Genetic Algorithm,391,11
Genetic Algorithm,392,8
Genetic Algorithm,393,13
Genetic Algorithm,394,15
Genetic Algorithm,395,10
Genetic Algorithm,396,12
Genetic Algorithm,397,13
Genetic Algorithm,398,13
Genetic Algorithm,399,13
Genetic Algorithm,400,11
Genetic Algorithm,401,12
Genetic Algorithm,402,14
Genetic Algorithm,403,12
Genetic Algorithm,404,18
Genetic Algorithm,405,9
Genetic Algorithm,406,13
Genetic Algorithm,407,7
Genetic Algorithm,408,13
Genetic Algorithm,409,9
Genetic Algorithm,410,15
Genetic Algorithm,411,15
Genetic Algorithm,412,11
Genetic Algorithm,413,13
Genetic Algorithm,414,21
Genetic Algorithm,415,11
Genetic Algorithm,416,13
Genetic Algorithm,417,9
Genetic Algorithm,418,8
Genetic Algorithm,419,13
Genetic Algorithm,420,11
Genetic Algorithm,421,15
Genetic Algorithm,422,12
Genetic Algorithm,423,8
Genetic Algorithm,424,16
Genetic Algorithm,425,9
Genetic Algorithm,426,17
Genetic Algorithm,427,14
Genetic Algorithm,428,12
Genetic Algorithm,429,11
Genetic Algorithm,430,25
Genetic Algorithm,431,7
Genetic Algorithm,432,17
Genetic Algorithm,433,14
Genetic Algorithm,434,10
Genetic Algorithm,435,9
Genetic Algorithm,436,12
Genetic Algorithm,437,8
Genetic Algorithm,438,11
Genetic Algorithm,439,9
Genetic Algorithm,440,15
Genetic Algorithm,441,14
Genetic Algorithm,442,15
Genetic Algorithm,443,9
Genetic Algorithm,444,12
Genetic Algorithm,445,13
Genetic Algorithm,446,8
Genetic Algorithm,447,11
Genetic Algorithm,448,12
Genetic Algorithm,449,9
Genetic Algorithm,450,11
Genetic Algorithm,451,8
Genetic Algorithm,452,17
Genetic Algorithm,453,15
Genetic Algorithm,454,11
Genetic Algorithm,455,14
Genetic Algorithm,456,9
Genetic Algorithm,457,10
Genetic Algorithm,458,8
Genetic Algorithm,459,13
Genetic Algorithm,460,15
Genetic Algorithm,461,10
Genetic Algorithm,462,10
Genetic Algorithm,463,15
Genetic Algorithm,464,14
Genetic Algorithm,465,13
Genetic Algorithm,466,12
Genetic Algorithm,467,12
Genetic Algorithm,468,15
Genetic Algorithm,469,7
Genetic Algorithm,470,10
Genetic Algorithm,471,13
Genetic Algorithm,472,7
Genetic Algorithm,473,15
Genetic Algorithm,474,9
Genetic Algorithm,475,14
Genetic Algorithm,476,8
Genetic Algorithm,477,16
Genetic Algorithm,478,16
Genetic Algorithm,479,10
Genetic Algorithm,480,9
Genetic Algorithm,481,14
Genetic Algorithm,482,13
Genetic Algorithm,483,7
Genetic Algorithm,484,12
Genetic Algorithm,485,9
Genetic Algorithm,486,10
Genetic Algorithm,487,12
Genetic Algorithm,488,12
Genetic Algorithm,489,16
Genetic Algorithm,490,10
Genetic Algorithm,491,5
Genetic Algorithm,492,16
Genetic Algorithm,493,9
Genetic Algorithm,494,11
Genetic Algorithm,495,9
Genetic Algorithm,496,10
Genetic Algorithm,497,11
Genetic Algorithm,498,14
Genetic Algorithm,499,15
Genetic Algorithm,500,9
Genetic Algorithm,501,11
Genetic Algorithm,502,12
Genetic Algorithm,503,11
Genetic Algorithm,504,17
Genetic Algorithm,505,12
Genetic Algorithm,506,16
Genetic Algorithm,507,9
Genetic Algorithm,508,13
Genetic Algorithm,509,16
Genetic Algorithm,510,8
Genetic Algorithm,511,12
Genetic Algorithm,512,9
Genetic Algorithm,513,12
Genetic Algorithm,514,13
Genetic Algorithm,515,13
Genetic Algorithm,516,8
Genetic Algorithm,517,7
Genetic Algorithm,518,10
Genetic Algorithm,519,14
Genetic Algorithm,520,12
Genetic Algorithm,521,18
Genetic Algorithm,522,10
Genetic Algorithm,523,8
Genetic Algorithm,524,8
Genetic Algorithm,525,13
Genetic Algorithm,526,11
Genetic Algorithm,527,11
Genetic Algorithm,528,12
Genetic Algorithm,529,7
Genetic Algorithm,530,13
Genetic Algorithm,531,11
Genetic Algorithm,532,16
Genetic Algorithm,533,15
Genetic Algorithm,534,17
Genetic Algorithm,535,14
Genetic Algorithm,536,12
Genetic Algorithm,537,9
Genetic Algorithm,538,11
Genetic Algorithm,539,14
Genetic Algorithm,540,11
Genetic Algorithm,541,11
Genetic Algorithm,542,7
Genetic Algorithm,543,14
Genetic Algorithm,544,10
Genetic Algorithm,545,10
Genetic Algorithm,546,14
Genetic Algorithm,547,13
Genetic Algorithm,548,12
Genetic Algorithm,549,14
Genetic Algorithm,550,12
Genetic Algorithm,551,12
Genetic Algorithm,552,11
Genetic Algorithm,553,16
Genetic Algorithm,554,18
Genetic Algorithm,555,9
Genetic Algorithm,556,15
Genetic Algorithm,557,15
Genetic Algorithm,558,8
Genetic Algorithm,559,14
Genetic Algorithm,560,12
Genetic Algorithm,561,9
Genetic Algorithm,562,17
Genetic Algorithm,563,12
Genetic Algorithm,564,9
Genetic Algorithm,565,6
Genetic Algorithm,566,14
Genetic Algorithm,567,14
Genetic Algorithm,568,9
Genetic Algorithm,569,12
Genetic Algorithm,570,9
Genetic Algorithm,571,10
Genetic Algorithm,572,11
Genetic Algorithm,573,10
Genetic Algorithm,574,13
Genetic Algorithm,575,12
Genetic Algorithm,576,11
Genetic Algorithm,577,22
Genetic Algorithm,578,10
Genetic Algorithm,579,10
Genetic Algorithm,580,13
Genetic Algorithm,581,9
Genetic Algorithm,582,9
Genetic Algorithm,583,13
Genetic Algorithm,584,9
Genetic Algorithm,585,15
Genetic Algorithm,586,12
Genetic Algorithm,587,15
Genetic Algorithm,588,15
Genetic Algorithm,589,14
Genetic Algorithm,590,12
Genetic Algorithm,591,12
Genetic Algorithm,592,7
Genetic Algorithm,593,11
Genetic Algorithm,594,14
Genetic Algorithm,595,19
Genetic Algorithm,596,9
Genetic Algorithm,597,11
Genetic Algorithm,598,12
Genetic Algorithm,599,16
Genetic Algorithm,600,8
Genetic Algorithm,601,10
Genetic Algorithm,602,9
Genetic Algorithm,603,13
Genetic Algorithm,604,11
Genetic Algorithm,605,15
Genetic Algorithm,606,12
Genetic Algorithm,607,15
Genetic Algorithm,608,9
Genetic Algorithm,609,10
Genetic Algorithm,610,12
Genetic Algorithm,611,9
Genetic Algorithm,612,14
Genetic Algorithm,613,9
Genetic Algorithm,614,15
Genetic Algorithm,615,8
Genetic Algorithm,616,10
Genetic Algorithm,617,14
